Timestamp,Condition,Avg Processing FPS,Avg End-to-End Latency (ms),Avg Pose Change (Euclidean Dist),Avg Translation Change (mm),Avg Joint Position Change (mm),Avg Shape Param Variance,Avg Detection/Tracking Rate (%)
2025-05-13 12:48:02,Optimal,3.9653,252.3545,0.3071506,3.1057,5.190283,0.54520625,100.0000
2025-05-13 12:49:09,Low Light,4.0023,249.9019,0.5818994,11.3687,11.16604,0.37472212,100.0000
2025-05-13 12:50:17,Partial Occlusion,3.9876,250.8645,0.3862078,5.3096,6.736551,0.22797489,100.0000
2025-05-13 12:50:49,Fast Motion,3.9896,250.7335,5.8666964,121.2970,173.96082,0.4301046,100.0000
2025-05-13 12:51:26,Optimal,4.0013,249.9939,0.2635292,2.9649,4.2925935,0.46293414,100.0000
2025-05-13 21:33:25,Static+Moving Occlusion,3.9394,254.1032,0.9162137,13.0980,16.431961,0.53696334,100.0000
2025-05-13 21:33:38,Optimal,3.9798,251.4013,0.62009835,10.2062,11.800153,0.58610076,100.0000
